2024-09-23 08:13:20,168 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.41s, Data Size: 114069 bytes
2024-09-23 08:13:20,217 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.25s, Data Size: 114069 bytes
2024-09-23 08:13:20,241 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.27s, Data Size: 114069 bytes
2024-09-23 08:13:20,250 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.49s, Data Size: 114069 bytes
2024-09-23 08:13:20,317 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.20s, Data Size: 114069 bytes
2024-09-23 08:13:20,356 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.01s, Data Size: 114069 bytes
2024-09-23 08:13:20,366 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.48s, Data Size: 114069 bytes
2024-09-23 08:13:20,380 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.62s, Data Size: 114069 bytes
2024-09-23 08:13:20,380 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.15s, Data Size: 114069 bytes
2024-09-23 08:13:20,470 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.48s, Data Size: 114069 bytes
2024-09-23 08:13:20,560 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.73s, Data Size: 114069 bytes
2024-09-23 08:13:20,854 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.27s, Data Size: 114069 bytes
2024-09-23 08:13:20,862 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.78s, Data Size: 114069 bytes
2024-09-23 08:13:20,895 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.93s, Data Size: 114069 bytes
2024-09-23 08:13:20,961 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.02s, Data Size: 114069 bytes
2024-09-23 08:13:20,961 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.35s, Data Size: 114069 bytes
2024-09-23 08:13:21,092 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.40s, Data Size: 114069 bytes
2024-09-23 08:13:21,141 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 0.81s, Data Size: 114069 bytes
2024-09-23 08:13:21,141 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.30s, Data Size: 114069 bytes
2024-09-23 08:13:21,184 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.33s, Data Size: 114069 bytes
2024-09-23 08:13:21,190 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.22s, Data Size: 114069 bytes
2024-09-23 08:13:21,215 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.43s, Data Size: 114069 bytes
2024-09-23 08:13:21,226 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.13s, Data Size: 114069 bytes
2024-09-23 08:13:21,500 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 0.91s, Data Size: 114069 bytes
2024-09-23 08:13:21,542 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.10s, Data Size: 114069 bytes
2024-09-23 08:13:21,560 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.28s, Data Size: 114069 bytes
2024-09-23 08:13:21,567 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.76s, Data Size: 114069 bytes
2024-09-23 08:13:21,616 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.38s, Data Size: 114069 bytes
2024-09-23 08:13:21,961 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.37s, Data Size: 114069 bytes
2024-09-23 08:13:22,026 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.16s, Data Size: 114069 bytes
2024-09-23 08:13:22,111 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.33s, Data Size: 114069 bytes
2024-09-23 08:13:22,175 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.20s, Data Size: 114069 bytes
2024-09-23 08:13:22,200 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.62s, Data Size: 114069 bytes
2024-09-23 08:13:22,510 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.02s, Data Size: 114069 bytes
2024-09-23 08:13:22,522 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.96s, Data Size: 114069 bytes
2024-09-23 08:13:22,605 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.19s, Data Size: 114069 bytes
2024-09-23 08:13:22,605 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.31s, Data Size: 114069 bytes
2024-09-23 08:13:22,637 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.28s, Data Size: 114069 bytes
2024-09-23 08:13:22,893 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.27s, Data Size: 114069 bytes
2024-09-23 08:13:22,931 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.32s, Data Size: 114069 bytes
2024-09-23 08:13:23,045 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.56s, Data Size: 114069 bytes
2024-09-23 08:13:23,144 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.51s, Data Size: 114069 bytes
2024-09-23 08:13:23,291 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.31s, Data Size: 114069 bytes
2024-09-23 08:13:23,307 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.05s, Data Size: 114069 bytes
2024-09-23 08:13:23,311 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.19s, Data Size: 114069 bytes
2024-09-23 08:13:23,323 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.10s, Data Size: 114069 bytes
2024-09-23 08:13:23,383 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.30s, Data Size: 114069 bytes
2024-09-23 08:13:23,406 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.44s, Data Size: 114069 bytes
2024-09-23 08:13:23,446 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.19s, Data Size: 114069 bytes
2024-09-23 08:13:23,529 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.58s, Data Size: 114069 bytes
2024-09-23 08:13:23,529 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.39s, Data Size: 114069 bytes
2024-09-23 08:13:23,554 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.76s, Data Size: 114069 bytes
2024-09-23 08:13:23,781 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.64s, Data Size: 114069 bytes
2024-09-23 08:13:23,839 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.82s, Data Size: 114069 bytes
2024-09-23 08:13:23,839 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.36s, Data Size: 114069 bytes
2024-09-23 08:13:23,856 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.82s, Data Size: 114069 bytes
2024-09-23 08:13:23,872 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.39s, Data Size: 114069 bytes
2024-09-23 08:13:23,911 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.49s, Data Size: 114069 bytes
2024-09-23 08:13:23,911 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 0.94s, Data Size: 114069 bytes
2024-09-23 08:13:23,911 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.60s, Data Size: 114069 bytes
2024-09-23 08:13:23,991 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.77s, Data Size: 114069 bytes
2024-09-23 08:13:24,008 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.28s, Data Size: 114069 bytes
2024-09-23 08:13:24,026 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.36s, Data Size: 114069 bytes
2024-09-23 08:13:24,227 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.43s, Data Size: 114069 bytes
2024-09-23 08:13:24,365 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.32s, Data Size: 114069 bytes
2024-09-23 08:13:24,365 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.32s, Data Size: 114069 bytes
2024-09-23 08:13:24,454 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.35s, Data Size: 114069 bytes
2024-09-23 08:13:24,463 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.40s, Data Size: 114069 bytes
2024-09-23 08:13:24,520 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.48s, Data Size: 114069 bytes
2024-09-23 08:13:24,528 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 0.98s, Data Size: 114069 bytes
2024-09-23 08:13:24,528 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.49s, Data Size: 114069 bytes
2024-09-23 08:13:24,547 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.25s, Data Size: 114069 bytes
2024-09-23 08:13:24,547 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.08s, Data Size: 114069 bytes
2024-09-23 08:13:24,719 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.63s, Data Size: 114069 bytes
2024-09-23 08:13:24,809 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.42s, Data Size: 114069 bytes
2024-09-23 08:13:24,825 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.68s, Data Size: 114069 bytes
2024-09-23 08:13:24,932 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.56s, Data Size: 114069 bytes
2024-09-23 08:13:24,998 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.54s, Data Size: 114069 bytes
2024-09-23 08:13:25,030 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.29s, Data Size: 114069 bytes
2024-09-23 08:13:25,129 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.09s, Data Size: 114069 bytes
2024-09-23 08:13:25,432 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 1.54s, Data Size: 114069 bytes
2024-09-23 08:13:25,504 - INFO - URL: https://www2.yrdsb.ca, Method: GET, Status: 200, Response Time: 2.13s, Data Size: 114069 bytes
